Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
A,1,50,1,false,1.9397795469999999,0.15872966499999397,4.071282863616943,0.0,1034,"[0.728658222, 1.211121325]","[50, 50]",1034
A,2,50,1,false,0.456711054,2.018e-6,0.4709610939025879,0.0,1,"[0.145138948, 0.311572106]","[50, 1]",1
A,3,50,1,false,0.24687589999999998,0.0001293639999999999,0.26251983642578125,0.0,312,"[0.027876782, 0.218999118]","[51, 64]",312
A,4,50,1,false,0.229744426,0.00014442599999999985,0.33719706535339355,0.0,373,"[0.019897321, 0.209847105]","[50, 51]",373
A,5,50,1,false,0.231833027,1.639e-6,0.24436092376708984,0.0,1,"[0.019909057, 0.21192397]","[50, 0]",1
A,6,50,1,false,0.24406936199999998,0.000181243,0.25804781913757324,0.0,415,"[0.018684021, 0.225385341]","[51, 51]",415
A,7,50,1,false,0.37329209100000005,2.465e-6,0.38461899757385254,0.0,1,"[0.135407775, 0.237884316]","[50, 0]",1
A,8,50,1,false,0.243375429,0.00010333200000000006,0.2561640739440918,0.0,282,"[0.020069041, 0.223306388]","[50, 51]",282
A,9,50,1,false,0.269286613,4.089e-6,0.28000593185424805,0.0,1,"[0.021751668, 0.247534945]","[52, 0]",1
A,10,50,1,false,0.256759126,0.0009280409999999973,0.2739071846008301,0.0,1865,"[0.017864955, 0.238894171]","[50, 56]",1865
A,11,50,1,false,0.26731805,0.0003292719999999998,0.28372883796691895,0.0,852,"[0.020339943, 0.246978107]","[51, 51]",852
A,12,50,1,false,0.276156575,1.818e-6,0.2887699604034424,0.0,1,"[0.019253577, 0.256902998]","[50, 0]",1
A,13,50,1,false,0.293300552,0.00014528200000000005,0.30740785598754883,0.0,234,"[0.019957411, 0.273343141]","[53, 86]",234
A,14,50,1,false,0.28112286799999997,1.887e-6,0.2939140796661377,0.0,1,"[0.02219042, 0.258932448]","[50, 0]",1
A,15,50,1,false,0.278352716,1.965e-6,0.2920689582824707,0.0,1,"[0.019530426, 0.25882229]","[50, 0]",1
A,16,50,1,false,0.26905652999999996,3.731e-6,0.281965970993042,0.0,1,"[0.017406856, 0.251649674]","[50, 0]",1
A,17,50,1,false,0.280623783,1.732e-6,0.29198622703552246,0.0,1,"[0.018256698, 0.262367085]","[50, 0]",1
A,18,50,1,false,0.29335840100000005,0.0005393240000000002,0.31106114387512207,0.0,958,"[0.019188189, 0.274170212]","[50, 60]",958
A,19,50,1,false,0.311297074,2.186e-6,0.32460594177246094,0.0,1,"[0.017656914, 0.29364016]","[50, 0]",1
