Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
D,1,60,1,false,18.485828551,0.1506590900000002,20.626798152923584,0.0,1268,"[0.810825367, 17.675003184]","[70, 6071]",1268
D,2,60,1,false,22.98830424,0.007288883999999997,23.206335067749023,0.0,1169,"[0.035605785, 22.952698455]","[135, 8694]",1169
D,3,60,1,false,12.842789959000001,0.0055206220000000045,12.967557907104492,0.0,1139,"[0.029391475, 12.813398484]","[114, 5981]",1139
D,4,60,1,false,29.57457848,0.006844899999999999,29.713336944580078,0.0,1139,"[0.034812742, 29.539765738]","[102, 6710]",1139
D,5,60,1,false,95.83797126,0.04328144800000002,96.84631609916687,0.0,2158,"[0.028363244, 95.809608016]","[143, 17225]",2158
D,6,60,1,false,23.052611295,0.009536950999999998,23.27178406715393,0.0,1606,"[0.030081221, 23.022530074]","[72, 7921]",1606
D,7,60,1,false,45.15862249,0.008788564999999991,45.35908079147339,0.0,1138,"[0.028919886, 45.129702604]","[87, 10465]",1138
D,8,60,1,false,45.277828766,0.021621127999999937,45.73240900039673,0.0,1934,"[0.029758293, 45.248070473]","[85, 11124]",1934
D,9,60,1,false,21.567040181,0.013637377000000008,21.82513999938965,0.0,1348,"[0.030632537, 21.536407644]","[91, 8888]",1348
D,10,60,1,false,7.803543684,0.0078105839999999885,7.924078941345215,0.0,1195,"[0.028558742, 7.774984942]","[82, 4473]",1195
D,11,60,1,false,34.714249633,0.022122652999999968,35.081945180892944,0.0,1918,"[0.029822161, 34.684427472]","[105, 8542]",1918
D,12,60,1,false,14.148955402999999,0.004852183000000005,14.248770952224731,0.0,850,"[0.030156961, 14.118798442]","[77, 6234]",850
D,13,60,1,false,11.927046032,0.00826236,12.121977806091309,0.0,1316,"[0.031459196, 11.895586836]","[108, 5364]",1316
D,14,60,1,false,21.964831834,0.008080367999999994,22.156877994537354,0.0,1233,"[0.030644918, 21.934186916]","[88, 8079]",1233
D,15,60,1,false,10.859675515,0.007112196000000004,11.006700992584229,0.0,1135,"[0.029376845, 10.83029867]","[70, 6126]",1135
D,16,60,1,false,31.752351727,0.010538812,32.00262808799744,0.0,1240,"[0.026734726, 31.725617001]","[73, 9078]",1240
D,17,60,1,false,49.186735850999995,0.015543016999999975,49.547775983810425,0.0,1583,"[0.029413068, 49.157322783]","[112, 9933]",1583
D,18,60,1,false,13.446453929,0.016058514999999975,13.745480060577393,0.0,1911,"[0.030667812, 13.415786117]","[77, 5780]",1911
D,19,60,1,false,14.350194189,0.009876115999999978,14.570748090744019,0.0,1250,"[0.0291256, 14.321068589]","[88, 7099]",1250
D,20,60,1,false,26.239630053000003,0.022341798999999975,26.57903814315796,0.0,1619,"[0.090442535, 26.149187518]","[83, 8625]",1619
D,21,60,1,false,10.886965839,0.01143038500000001,11.042569875717163,0.0,1411,"[0.030059913, 10.856905926]","[67, 4956]",1411
D,22,60,1,false,42.207092294,0.0077051850000000085,42.46049690246582,0.0,1192,"[0.123170957, 42.083921337]","[235, 10139]",1192
D,23,60,1,false,54.937653244,0.023425277000000015,55.48240113258362,0.0,1724,"[0.038494907, 54.899158337]","[172, 11647]",1724
D,24,60,1,false,17.564720159,0.01802622000000002,17.86406397819519,0.0,1653,"[0.039609047, 17.525111112]","[80, 7938]",1653
D,25,60,1,false,45.557151835,0.009423766999999991,45.7792010307312,0.0,1168,"[0.029937093, 45.527214742]","[92, 9206]",1168
D,26,60,1,false,13.017376057,0.007128347000000003,13.146208047866821,0.0,1086,"[0.080256868, 12.937119189]","[67, 4733]",1086
D,27,60,1,false,79.354879314,0.012856060000000022,79.74822807312012,0.0,1361,"[0.029982545, 79.324896769]","[97, 15469]",1361
D,28,60,1,false,28.778785108999998,0.01875332599999998,29.122380018234253,0.0,1634,"[0.027996014, 28.750789095]","[113, 10156]",1634
D,29,60,1,false,54.410336158,0.011487541000000004,54.67497396469116,0.0,1330,"[0.032953233, 54.377382925]","[143, 12518]",1330
D,30,60,1,false,7.096324773,0.003503788000000006,7.180901050567627,0.0,750,"[0.029981444, 7.066343329]","[86, 5258]",750
