Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
A,1,50,1,false,1.025805506,0.08785333999999859,1.9424591064453125,0.0,1034,"[0.43820969, 0.587595816]","[50, 50]",1034
A,2,50,1,false,0.135674417,2.016e-6,0.1421370506286621,0.0,1,"[0.087144532, 0.048529885]","[50, 1]",1
A,3,50,1,false,0.13984375100000002,9.45389999999999e-5,0.1470639705657959,0.0,312,"[0.087120178, 0.052723573]","[51, 64]",312
A,4,50,1,false,0.13985619700000002,9.148999999999998e-5,0.14605116844177246,0.0,373,"[0.011480715, 0.128375482]","[50, 51]",373
A,5,50,1,false,0.137269315,1.139e-6,0.14270710945129395,0.0,1,"[0.009202349, 0.128066966]","[50, 0]",1
A,6,50,1,false,0.155983074,0.000104344,0.16205692291259766,0.0,415,"[0.008738819, 0.147244255]","[51, 51]",415
A,7,50,1,false,0.060004305,1.858e-6,0.06549406051635742,0.0,1,"[0.009121719, 0.050882586]","[50, 0]",1
A,8,50,1,false,0.16615181,6.577199999999995e-5,0.1721210479736328,0.0,282,"[0.011088544, 0.155063266]","[50, 51]",282
A,9,50,1,false,0.061695335,3.537e-6,0.06720280647277832,0.0,1,"[0.009721067, 0.051974268]","[52, 0]",1
A,10,50,1,false,0.175258796,0.0005933949999999994,0.18566489219665527,0.0,1865,"[0.12434536, 0.050913436]","[50, 56]",1865
A,11,50,1,false,0.182650122,0.00022849099999999983,0.18961191177368164,0.0,852,"[0.010511996, 0.172138126]","[51, 51]",852
A,12,50,1,false,0.057167586,1.562e-6,0.06295299530029297,0.0,1,"[0.008738981, 0.048428605]","[50, 0]",1
A,13,50,1,false,0.204418515,8.938299999999998e-5,0.21042919158935547,0.0,234,"[0.00950377, 0.194914745]","[53, 86]",234
A,14,50,1,false,0.059515041000000005,1.631e-6,0.06521487236022949,0.0,1,"[0.008621756, 0.050893285]","[50, 0]",1
A,15,50,1,false,0.200083213,1.561e-6,0.20540118217468262,0.0,1,"[0.008770462, 0.191312751]","[50, 0]",1
A,16,50,1,false,0.056074578,1.562e-6,0.0618748664855957,0.0,1,"[0.008409117, 0.047665461]","[50, 0]",1
A,17,50,1,false,0.217668349,1.468e-6,0.2231459617614746,0.0,1,"[0.010043051, 0.207625298]","[50, 0]",1
