Family,Seed,n,m,Binary,gb_total_time,normalform_time,total_time,solver_time,pareto_size,gb_times,gb_sizes,num_ips
D,1,60,1,false,10.299340947000001,0.005147898999999989,10.398390054702759,0.0,1268,"[0.020533477, 10.27880747]","[70, 6071]",1268
D,2,60,1,false,14.329351526,0.006068699999999998,14.462884902954102,0.0,1169,"[0.046077586, 14.28327394]","[135, 8694]",1169
D,3,60,1,false,8.124701266999999,0.0032604370000000045,8.197014093399048,0.0,1139,"[0.01924251, 8.105458757]","[114, 5981]",1139
D,4,60,1,false,18.350352839,0.004380514,18.43263006210327,0.0,1139,"[0.022981628, 18.327371211]","[102, 6710]",1139
D,5,60,1,false,52.876527846,0.035758666000000015,53.51199412345886,0.0,2158,"[0.018706651, 52.857821195]","[143, 17225]",2158
D,6,60,1,false,13.549986491,0.0057710869999999985,13.684110164642334,0.0,1606,"[0.019299201, 13.53068729]","[72, 7921]",1606
D,7,60,1,false,22.478613708999998,0.006733475000000007,22.609583854675293,0.0,1138,"[0.018800735, 22.459812974]","[87, 10465]",1138
D,8,60,1,false,25.100695432,0.019728680000000002,25.398101091384888,0.0,1934,"[0.049685587, 25.051009845]","[85, 11124]",1934
D,9,60,1,false,12.290415628000002,0.010391217000000013,12.45532488822937,0.0,1348,"[0.01979198, 12.270623648]","[91, 8888]",1348
D,10,60,1,false,4.8966086120000005,0.0035577919999999997,4.9606359004974365,0.0,1195,"[0.018238346, 4.878370266]","[82, 4473]",1195
D,11,60,1,false,18.248039013,0.01461701499999999,18.466609954833984,0.0,1918,"[0.018665268, 18.229373745]","[105, 8542]",1918
D,12,60,1,false,8.158945044,0.00255993,8.212559938430786,0.0,850,"[0.019336173, 8.139608871]","[77, 6234]",850
D,13,60,1,false,6.691945917,0.004758832999999999,6.783977031707764,0.0,1316,"[0.020100138, 6.671845779]","[108, 5364]",1316
D,14,60,1,false,13.36002968,0.0062271989999999906,13.483215093612671,0.0,1233,"[0.019752919, 13.340276761]","[88, 8079]",1233
D,15,60,1,false,7.0095579489999995,0.005427617999999992,7.101680040359497,0.0,1135,"[0.018649319, 6.99090863]","[70, 6126]",1135
D,16,60,1,false,17.470458877000002,0.007959571000000006,17.63571810722351,0.0,1240,"[0.017425457, 17.45303342]","[73, 9078]",1240
D,17,60,1,false,23.611501961000002,0.01139379999999999,23.84328293800354,0.0,1583,"[0.01893394, 23.592568021]","[112, 9933]",1583
D,18,60,1,false,7.849977942,0.008372243000000007,8.034827947616577,0.0,1911,"[0.019652474, 7.830325468]","[77, 5780]",1911
D,19,60,1,false,7.853887323,0.0065864279999999975,7.983530044555664,0.0,1250,"[0.018079141, 7.835808182]","[88, 7099]",1250
D,20,60,1,false,14.614000125,0.015541932000000012,14.81161093711853,0.0,1619,"[0.051853699, 14.562146426]","[83, 8625]",1619
D,21,60,1,false,6.069688216,0.006138159,6.1574318408966064,0.0,1411,"[0.018865713, 6.050822503]","[67, 4956]",1411
D,22,60,1,false,24.502100823000003,0.006025798999999992,24.669983863830566,0.0,1192,"[0.027445103, 24.47465572]","[235, 10139]",1192
D,23,60,1,false,29.553522506,0.014663069999999993,29.830321073532104,0.0,1724,"[0.024888938, 29.528633568]","[172, 11647]",1724
D,24,60,1,false,9.583889984,0.011231501999999996,9.76432180404663,0.0,1653,"[0.019126459, 9.564763525]","[80, 7938]",1653
D,25,60,1,false,21.544619666,0.006809304000000001,21.684251070022583,0.0,1168,"[0.019273916, 21.52534575]","[92, 9206]",1168
D,26,60,1,false,7.247900288,0.003825724999999995,7.319082021713257,0.0,1086,"[0.018492514, 7.229407774]","[67, 4733]",1086
D,27,60,1,false,48.883288465999996,0.00931258499999999,49.14387607574463,0.0,1361,"[0.018964714, 48.864323752]","[97, 15469]",1361
D,28,60,1,false,14.676515937000001,0.014924082000000009,14.891013145446777,0.0,1634,"[0.017835034, 14.658680903]","[113, 10156]",1634
D,29,60,1,false,32.167114749999996,0.009628222999999986,32.319632053375244,0.0,1330,"[0.020986932, 32.146127818]","[143, 12518]",1330
D,30,60,1,false,4.632139443000001,0.00204937,4.677449941635132,0.0,750,"[0.019438293, 4.61270115]","[86, 5258]",750
D,1,70,1,false,22.786898569,0.02566810700000002,23.182425022125244,0.0,2099,"[0.025454173, 22.761444396]","[91, 10404]",2099
D,2,70,1,false,43.802970531,0.03019323199999992,44.435439109802246,0.0,2372,"[0.025493351, 43.77747718]","[99, 14850]",2372
D,3,70,1,false,72.41774849100001,0.037009216,73.09905505180359,0.0,2614,"[0.024256433, 72.393492058]","[114, 18163]",2614
D,4,70,1,false,62.733493021,0.012654566000000015,62.99627995491028,0.0,1417,"[0.024865528, 62.708627493]","[78, 13703]",1417
D,5,70,1,false,11.874531829,0.006629748999999996,12.002502918243408,0.0,1346,"[0.074124889, 11.80040694]","[101, 5864]",1346
D,6,70,1,false,85.352410359,0.023226614999999996,85.89073610305786,0.0,2195,"[0.0247418, 85.327668559]","[83, 19473]",2195
D,7,70,1,false,20.040005413,0.00707731200000001,20.22187089920044,0.0,1179,"[0.02498902, 20.015016393]","[103, 9220]",1179
D,8,70,1,false,75.00092536300001,0.01819211199999996,75.35940790176392,0.0,1773,"[0.031257353, 74.96966801]","[114, 14885]",1773
D,9,70,1,false,10.250187224,0.007596829000000008,10.3944730758667,0.0,1692,"[0.090728507, 10.159458717]","[95, 5583]",1692
D,10,70,1,false,21.603255919,0.031097143000000053,22.149182081222534,0.0,3014,"[0.025474082, 21.577781837]","[90, 10304]",3014
D,11,70,1,false,6.936849503,0.006283587999999993,7.04352593421936,0.0,1408,"[0.024530794, 6.912318709]","[84, 6100]",1408
